1.995,0,0
2.01,0,0
2.025,0,0
2.04,0,0
2.055,0,0
2.07,0,0
2.085,0,0
2.1,0,0
2.115,0,0
2.13,0,0
2.145,0,0
2.16,0,0
2.175,0,0
2.19,0,0
2.205,0,0
2.22,0,0
2.235,0,0
2.25,0,0
2.265,0,0
2.28,0,0
2.295,0,0
2.31,0,0
2.325,0,0
2.34,0,0
2.355,0,0
2.37,0,0
2.385,0,0
2.4,0,0
2.415,0,0
2.43,0,0
2.445,0,0
2.46,0,0
2.475,0,0
2.49,0,0
2.505,0,0
2.52,0,0
2.535,0,0
2.55,0,0
2.565,0,0
2.58,0,0
2.595,0,0
2.61,0,0
2.625,0,0
2.64,0,0
2.655,0,0
2.67,0,0
2.685,0,0
2.7,0,0
2.715,0,0
2.73,0,0
2.745,0,0
2.76,0,0
2.775,0,0
2.79,0,0
2.805,0,0
2.82,0,0
2.835,0,0
2.85,0,0
2.865,0,0
2.88,0,0
2.895,0,0
2.91,0,0
2.925,0,0
2.94,0,0
2.955,0,0
2.97,0,0
2.985,0,0
3,0,0
3.015,0,0
3.03,0,0
3.045,0,0
3.06,0,0
3.075,0,0
3.09,0,0
3.105,0,0
3.12,0,0
3.135,0,0
3.15,0,0
3.165,0,0
3.18,0,0
3.195,0,0
3.21,0,0
3.225,0,0
3.24,0,0
3.255,0,0
3.27,0,0
3.285,0,0
3.3,0,0
3.315,0,0
3.33,0,0
3.345,0,0
3.36,0,0
3.375,0,0
3.39,0,0
3.405,0,0
3.42,0,0
3.435,0,0
3.45,0,0
3.465,0,0
3.48,0,0
3.495,0,0
3.51,0,0
3.525,0,0
3.54,0,0
3.555,0,0
3.57,0,0
3.585,0,0
3.6,0,0
3.615,0,0
3.63,0,0
3.645,0,0
3.66,0,0
3.675,0,0
3.69,0,0
3.705,0,0
3.72,0,0
3.735,0,0
3.75,0,0
3.765,0,0
3.78,0,0
3.795,0,0
3.81,0,0
3.825,0,0
3.84,0,0
3.855,0,0
3.87,0,0
3.885,0,0
3.9,0,0
3.915,0,0
3.93,0,0
3.945,0,0
3.96,0,0
3.975,0,0
3.99,0,0
4.005,0,0
4.02,0,0
4.035,0,0
4.05,0,0
4.065,0,0
4.08,0,0
4.095,0,0
4.11,0,0
4.125,0,0
4.14,0,0
4.155,0,0
4.17,0,0
4.185,0,0
4.2,0,0
4.215,0,0
4.23,0,0
4.245,0,0
4.26,0,0
4.275,0,0
4.29,0,0
4.305,0,0
4.32,0,0
4.335,0,0
4.35,0,0
4.365,0,0
4.38,0,0
4.395,0,0
4.41,0,0
4.425,0,0
4.44,0,0
4.455,0,0
4.47,0,0
4.485,0,0
4.5,0,0
4.515,0,0
4.53,0,0
4.545,0,0
4.56,0,0
4.575,0,0
4.59,0,0
4.605,0,0
4.62,0,0
4.635,0,0
4.65,0,0
4.665,0,0
4.68,0,0
4.695,0,0
4.71,0,0
4.725,0,0
4.74,0,0
4.755,0,0
4.77,0,0
4.785,0,0
4.8,0,0
4.815,0,0
4.83,0,0
4.845,0,0
4.86,0,0
4.875,0,0
4.89,0,0
4.905,0,0
4.92,0,0
4.935,0,0
4.95,0,0
4.965,0,0
4.98,0,0
4.995,0,0
5.01,0,0
5.025,0,0
5.04,0,0
5.055,0,0
5.07,0,0
5.085,0,0
5.1,0,0
5.115,0,0
5.13,0,0
5.145,0,0
5.16,0,0
5.175,0,0
5.19,0,0
5.205,0,0
5.22,0,0
5.235,0,0
5.25,0,0
5.265,0,0
5.28,0,0
5.295,0,0
5.31,0,0
5.325,0,0
5.34,0,0
5.355,0,0
5.37,0,0
5.385,0,0
5.4,0,0
5.415,0,0
5.43,0,0
5.445,0,0
5.46,0,0
5.475,0,0
5.49,0,0
5.505,0,0
5.52,0,0
5.535,0,0
5.55,0,0
5.565,0,0
5.58,0,0
5.595,0,0
5.61,0,0
5.625,0,0
5.64,0,0
5.655,0,0
5.67,0,0
5.685,0,0
5.7,0,0
5.715,0,0
5.73,0,0
5.745,0,0
5.76,0,0
5.775,0,0
5.79,0,0
5.805,0,0
5.82,0,0
5.835,0,0
5.85,0,0
5.865,0,0
5.88,0,0
5.895,0,0
5.91,0,0
5.925,0,0
5.94,0,0
5.955,0,0
5.97,0,0
5.985,0,0
6,0,0
6.015,0,0
6.03,0,0
6.045,0,0
6.06,0,0
6.075,0,0
6.09,0,0
6.105,0,0
6.12,0,0
6.135,0,0
6.15,0,0
6.165,0,0
6.18,0,0
6.195,0,0
6.21,0,0
6.225,0,0
6.24,0,0
6.255,0,0
6.27,0,0
6.285,0,0
6.3,0,0
6.315,0,0
6.33,0,0
6.345,0,0
6.36,0,0
6.375,0,0
6.39,0,0
6.405,0,0
6.42,0,0
6.435,0,0
6.45,0,0
6.465,0,0
6.48,0,0
6.495,0,0
6.51,0,0
6.525,0,0
6.54,0,0
6.555,0,0
6.57,0,0
6.585,0,0
6.6,0,0
6.615,0,0
6.63,0,0
6.645,0,0
6.66,0,0
6.675,0,0
6.69,0,0
6.705,0,0
6.72,0,0
6.735,0,0
6.75,0,0
6.765,0,0
6.78,0,0
6.795,0,0
6.81,0,0
6.825,0,0
6.84,0,0
6.855,0,0
6.87,0,0
6.885,0,0
6.9,0,0
6.915,0,0
6.93,0,0
6.945,0,0
6.96,0,0
6.975,0,0
6.99,0,0
7.005,0,0
7.02,0,0
7.035,0,0
7.05,0,0
7.065,0,0
7.08,0,0
7.095,0,0
7.11,0,0
7.125,0,0
7.14,0,0
7.155,0,0
7.17,0,0
7.185,0,0
7.2,0,0
7.215,0,0
7.23,0,0
7.245,0,0
7.26,0,0
7.275,0,0
7.29,0,0
7.305,0,0
7.32,0,0
7.335,0,0
7.35,0,0
7.365,0,0
7.38,0,0
7.395,0,0
7.41,0,0
7.425,0,0
7.44,0,0
7.455,0,0
7.47,0,0
7.485,0,0
7.5,0,0
7.515,0,0
7.53,0,0
7.545,0,0
7.56,0,0
7.575,0,0
7.59,0,0
7.605,0,0
7.62,0,0
7.635,0,0
7.65,0,0
7.665,0,0
7.68,0,0
7.695,0,0
7.71,0,0
7.725,0,0
7.74,0,0
7.755,0,0
7.77,0,0
7.785,0,0
7.8,0,0
7.815,0,0
7.83,0,0
7.845,0,0
7.86,0,0
7.875,0,0
7.89,0,0
7.905,0,0
7.92,0,0
7.935,0,0
7.95,0,0
7.965,0,0
7.98,0,0
7.995,0,0
8.01,0,0
8.025,0,0
8.04,0,0
8.055,0,0
8.07,0,0
8.085,0,0
8.1,0,0
8.115,0,0
8.13,0,0
8.145,0,0
8.16,0,0
8.175,0,0
8.19,0,0
8.205,0,0
8.22,0,0
8.235,0,0
8.25,0,0
8.265,0,0
8.28,0,0
8.295,0,0
8.31,0,0
8.325,0,0
8.34,0,0
8.355,0,0
8.37,0,0
8.385,0,0
8.4,0,0
8.415,0,0
8.43,0,0
8.445,0,0
8.46,0,0
8.475,0,0
8.49,0,0
8.505,0,0
8.52,0,0
8.535,0,0
8.55,0,0
8.565,0,0
8.58,0,0
8.595,0,0
8.61,0,0
8.625,0,0
8.64,0,0
8.655,0,0
8.67,0,0
8.685,0,0
8.7,0,0
8.715,0,0
8.73,0,0
8.745,0,0
8.76,0,0
8.775,0,0
8.79,0,0
8.805,0,0
8.82,0,0
8.835,0,0
8.85,0,0
8.865,0,0
8.88,0,0
8.895,0,0
8.91,0,0
8.925,0,0
8.94,0,0
8.955,0,0
8.97,0,0
8.985,0,0
9,0,0
9.015,0,0
9.03,0,0
9.045,0,0
9.06,0,0
9.075,0,0
9.09,0,0
9.105,0,0
9.12,0,0
9.135,0,0
9.15,0,0
9.165,0,0
9.18,0,0
9.195,0,0
9.21,0,0
9.225,0,0
9.24,0,0
9.255,0,0
9.27,0,0
9.285,0,0
9.3,0,0
9.315,0,0
9.33,0,0
9.345,0,0
9.36,0,0
9.375,0,0
9.39,0,0
9.405,0,0
9.42,0,0
9.435,0,0
9.45,0,0
9.465,0,0
9.48,0,0
9.495,0,0
9.51,0,0
9.525,0,0
9.54,0,0
9.555,0,0
9.57,0,0
9.585,0,0
9.6,0,0
9.615,0,0
9.63,0,0
9.645,0,0
9.66,0,0
9.675,0,0
9.69,0,0
9.705,0,0
9.72,0,0
9.735,0,0
9.75,0,0
9.765,0,0
9.78,0,0
9.795,0,0
9.81,0,0
9.825,0,0
9.84,0,0
9.855,0,0
9.87,0,0
9.885,0,0
9.9,0,0
9.915,0,0
9.93,0,0
9.945,0,0
9.96,0,0
9.975,0,0
9.99,0,0
10.005,0,0
10.02,0,0
10.035,0,0
10.05,0,0
10.065,0,0
10.08,0,0
10.095,0,0
10.11,0,0
10.125,0,0
10.14,0,0
10.155,0,0
10.17,0,0
10.185,0,0
10.2,0,0
10.215,0,0
10.23,0,0
10.245,0,0
10.26,0,0
10.275,0,0
10.29,0,0
10.305,0,0
10.32,0,0
10.335,0,0
10.35,0,0
10.365,0,0
10.38,0,0
10.395,0,0
10.41,0,0
10.425,0,0
10.44,0,0
10.455,0,0
10.47,0,0
10.485,0,0
10.5,0,0
10.515,0,0
10.53,0,0
10.545,0,0
10.56,0,0
10.575,0,0
10.59,0,0
10.605,0,0
10.62,0,0
10.635,0,0
10.65,0,0
10.665,0,0
10.68,0,0
10.695,0,0
10.71,0,0
10.725,0,0
10.74,0,0
10.755,0,0
10.77,0,0
10.785,0,0
10.8,0,0
10.815,0,0
10.83,0,0
10.845,0,0
10.86,0,0
10.875,0,0
10.89,0,0
10.905,0,0
10.92,0,0
10.935,0,0
10.95,0,0
10.965,0,0
10.98,0,0
10.995,0,0
11.01,0,0
11.025,0,0
11.04,0,0
11.055,0,0
11.07,0,0
11.085,0,0
11.1,0,0
11.115,0,0
11.13,0,0
11.145,0,0
11.16,0,0
11.175,0,0
11.19,0,0
11.205,0,0
11.22,0,0
11.235,0,0
11.25,0,0
11.265,0,0
11.28,0,0
11.295,0,0
11.31,0,0
11.325,0,0
11.34,0,0
11.355,0,0
11.37,0,0
11.385,0,0
11.4,0,0
11.415,0,0
11.43,0,0
11.445,0,0
11.46,0,0
11.475,0,0
11.49,0,0
11.505,0,0
11.52,0,0
11.535,0,0
11.55,0,0
11.565,0,0
11.58,0,0
11.595,0,0
11.61,0,0
11.625,0,0
11.64,0,0
11.655,0,0
11.67,0,0
11.685,0,0
11.7,0,0
11.715,0,0
11.73,0,0
11.745,0,0
11.76,0,0
11.775,0,0
11.79,0,0
11.805,0,0
11.82,0,0
11.835,0,0
11.85,0,0
11.865,0,0
11.88,0,0
11.895,0,0
11.91,0,0
11.925,0,0
11.94,0,0
11.955,0,0
11.97,0,0
11.985,0,0
12,0,0
12.015,0,0
12.03,0,0
12.045,0,0
12.06,0,0
12.075,0,0
12.09,0,0
12.105,0,0
12.12,0,0
12.135,0,0
12.15,0,0
12.165,0,0
12.18,0,0
12.195,0,0
12.21,0,0
12.225,0,0
12.24,0,0
12.255,0,0
12.27,0,0
12.285,0,0
12.3,0,0
12.315,0,0
12.33,0,0
12.345,0,0
12.36,0,0
12.375,0,0
12.39,0,0
12.405,0,0
12.42,0,0
12.435,0,0
12.45,0,0
12.465,0,0
12.48,0,0
12.495,0,0
12.51,0,0
12.525,0,0
12.54,0,0
12.555,0,0
12.57,0,0
12.585,0,0
12.6,0,0
12.615,0,0
12.63,0,0
12.645,0,0
12.66,0,0
12.675,0,0
12.69,0,0
12.705,0,0
12.72,0,0
12.735,0,0
12.75,0,0
12.765,0,0
12.78,0,0
12.795,0,0
12.81,0,0
12.825,0,0
12.84,0,0
12.855,0,0
12.87,0,0
12.885,0,0
12.9,0,0
12.915,0,0
12.93,0,0
12.945,0,0
12.96,0,0
12.975,0,0
12.99,0,0
13.005,0,0
13.02,0,0
13.035,0,0
13.05,0,0
13.065,0,0
13.08,0,0
13.095,0,0
13.11,0,0
13.125,0,0
13.14,0,0
13.155,0,0
13.17,0,0
13.185,0,0
13.2,0,0
13.215,0,0
13.23,0,0
13.245,0,0
13.26,0,0
13.275,0,0
13.29,0,0
13.305,0,0
13.32,0,0
13.335,0,0
13.35,0,0
13.365,0,0
13.38,0,0
13.395,0,0
13.41,0,0
13.425,0,0
13.44,0,0
13.455,0,0
13.47,0,0
13.485,0,0
13.5,0,0
13.515,0,0
13.53,0,0
13.545,0,0
13.56,0,0
13.575,0,0
13.59,0,0
13.605,0,0
13.62,0,0
13.635,0,0
13.65,0,0
13.665,0,0
13.68,0,0
13.695,0,0
13.71,0,0
13.725,0,0
13.74,0,0
13.755,0,0
13.77,0,0
13.785,0,0
13.8,0,0
13.815,0,0
13.83,0,0
13.845,0,0
13.86,0,0
13.875,0,0
13.89,0,0
13.905,0,0
13.92,0,0
13.935,0,0
13.95,0,0
13.965,0,0
13.98,0,0
13.995,0,0
14.01,0,0
14.025,0,0
14.04,0,0
14.055,0,0
14.07,0,0
14.085,0,0
14.1,0,0
14.115,0,0
14.13,0,0
14.145,0,0
14.16,0,0
14.175,0,0
14.19,0,0
14.205,0,0
14.22,0,0
14.235,0,0
14.25,0,0
14.265,0,0
14.28,0,0
14.295,0,0
14.31,0,0
14.325,0,0
14.34,0,0
14.355,0,0
14.37,0,0
14.385,0,0
14.4,0,0
14.415,0,0
14.43,0,0
14.445,0,0
14.46,0,0
14.475,0,0
14.49,0,0
14.505,0,0
14.52,0,0
14.535,0,0
14.55,0,0
14.565,0,0
14.58,0,0
14.595,0,0
14.61,0,0
14.625,0,0
14.64,0,0
14.655,0,0
14.67,0,0
14.685,0,0
14.7,0,0
14.715,0,0
14.73,0,0
14.745,0,0
14.76,0,0
14.775,0,0
14.79,0,0
14.805,0,0
14.82,0,0
14.835,0,0
14.85,0,0
14.865,0,0
14.88,0,0
14.895,0,0
14.91,0,0
14.925,0,0
14.94,0,0
14.955,0,0
14.97,0,0
14.985,0,0
15,0,0
15.015,0,0
15.03,0,0
15.045,0,0
15.06,0,0
15.075,0,0
15.09,0,0
15.105,0,0
15.12,0,0
15.135,0,0
15.15,0,0
15.165,0,0
15.18,0,0
15.195,0,0
15.21,0,0
15.225,0,0
15.24,0,0
15.255,0,0
15.27,0,0
15.285,0,0
15.3,0,0
15.315,0,0
15.33,0,0
15.345,0,0
15.36,0,0
15.375,0,0
15.39,0,0
15.405,0,0
15.42,0,0
15.435,0,0
15.45,0,0
15.465,0,0
15.48,0,0
15.495,0,0
15.51,0,0
15.525,0,0
15.54,0,0
15.555,0,0
15.57,0,0
15.585,0,0
15.6,0,0
15.615,0,0
15.63,0,0
15.645,0,0
15.66,0,0
15.675,0,0
15.69,0,0
15.705,0,0
15.72,0,0
15.735,0,0
15.75,0,0
15.765,0,0
15.78,0,0
15.795,0,0
15.81,0,0
15.825,0,0
15.84,0,0
15.855,0,0
15.87,0,0
15.885,0,0
15.9,0,0
15.915,0,0
15.93,0,0
15.945,0,0
15.96,0,0
15.975,0,0
15.99,0,0
16.005,0,0
16.02,0,0
16.035,0,0
16.05,0,0
16.065,0,0
16.08,0,0
16.095,0,0
16.11,0,0
16.125,0,0
16.14,0,0
16.155,0,0
16.17,0,0
16.185,0,0
16.2,0,0
16.215,0,0
16.23,0,0
16.245,0,0
16.26,0,0
16.275,0,0
16.29,0,0
16.305,0,0
16.32,0,0
16.335,0,0
16.35,0,0
16.365,0,0
16.38,0,0
16.395,0,0
16.41,0,0
16.425,0,0
16.44,0,0
16.455,0,0
16.47,0,0
16.485,0,0
16.5,0,0
16.515,0,0
16.53,0,0
16.545,0,0
16.56,0,0
16.575,0,0
16.59,0,0
16.605,0,0
16.62,0,0
16.635,0,0
16.65,0,0
16.665,0,0
16.68,0,0
16.695,0,0
16.71,0,0
16.725,0,0
16.74,0,0
16.755,0,0
16.77,0,0
16.785,0,0
16.8,0,0
16.815,0,0
16.83,0,0
16.845,0,0
16.86,0,0
16.875,0,0
16.89,0,0
16.905,0,0
16.92,0,0
16.935,0,0
16.95,0,0
16.965,0,0
16.98,0,0
16.995,0,0
17.01,0,0
17.025,0,0
17.04,0,0
17.055,0,0
17.07,0,0
17.085,0,0
17.1,0,0
17.115,0,0
17.13,0,0
17.145,0,0
17.16,0,0
17.175,0,0
17.19,0,0
17.205,0,0
17.22,0,0
17.235,0,0
17.25,0,0
17.265,0,0
17.28,0,0
17.295,0,0
17.31,0,0
17.325,0,0
17.34,0,0
17.355,0,0
17.37,0,0
17.385,0,0
17.4,0,0
17.415,0,0
17.43,0,0
17.445,0,0
17.46,0,0
17.475,0,0
17.49,0,0
17.505,0,0
17.52,0,0
17.535,0,0
17.55,0,0
17.565,0,0
17.58,0,0
17.595,0,0
17.61,0,0
17.625,0,0
17.64,0,0
17.655,0,0
17.67,0,0
17.685,0,0
17.7,0,0
17.715,0,0
17.73,0,0
17.745,0,0
17.76,0,0
17.775,0,0
17.79,0,0
17.805,0,0
17.82,0,0
17.835,0,0
17.85,0,0
17.865,0,0
17.88,0,0
17.895,0,0
17.91,0,0
17.925,0,0
17.94,0,0
17.955,0,0
17.97,0,0
17.985,0,0
18,0,0
18.015,0,0
18.03,0,0
18.045,0,0
18.06,0,0
18.075,0,0
18.09,0,0
18.105,0,0
18.12,0,0
18.135,0,0
18.15,0,0
18.165,0,0
18.18,0,0
18.195,0,0
18.21,0,0
18.225,0,0
18.24,0,0
18.255,0,0
18.27,0,0
18.285,0,0
18.3,0,0
18.315,0,0
18.33,0,0
18.345,0,0
18.36,0,0
18.375,0,0
18.39,0,0
18.405,0,0
18.42,0,0
18.435,0,0
18.45,0,0
18.465,0,0
18.48,0,0
18.495,0,0
18.51,0,0
18.525,0,0
18.54,0,0
18.555,0,0
18.57,0,0
18.585,0,0
18.6,0,0
18.615,0,0
18.63,0,0
18.645,0,0
18.66,0,0
18.675,0,0
18.69,0,0
18.705,0,0
18.72,0,0
18.735,0,0
18.75,0,0
18.765,0,0
18.78,0,0
18.795,0,0
18.81,0,0
18.825,0,0
18.84,0,0
18.855,0,0
18.87,0,0
18.885,0,0
18.9,0,0
18.915,0,0
18.93,0,0
18.945,0,0
18.96,0,0
18.975,0,0
18.99,0,0
19.005,0,0
19.02,0,0
19.035,0,0
19.05,0,0
19.065,0,0
19.08,0,0
19.095,0,0
19.11,0,0
19.125,0,0
19.14,0,0
19.155,0,0
19.17,0,0
19.185,0,0
19.2,0,0
19.215,0,0
19.23,0,0
19.245,0,0
19.26,0,0
19.275,0,0
19.29,0,0
19.305,0,0
19.32,0,0
19.335,0,0
19.35,0,0
19.365,0,0
19.38,0,0
19.395,0,0
19.41,0,0
19.425,0,0
19.44,0,0
19.455,0,0
19.47,0,0
19.485,0,0
19.5,0,0
19.515,0,0
19.53,0,0
19.545,0,0
19.56,0,0
19.575,0,0
19.59,0,0
19.605,0,0
19.62,0,0
19.635,0,0
19.65,0,0
19.665,0,0
19.68,0,0
19.695,0,0
19.71,0,0
19.725,0,0
19.74,0,0
19.755,0,0
19.77,0,0
19.785,0,0
19.8,0,0
19.815,0,0
19.83,0,0
19.845,0,0
19.86,0,0
19.875,0,0
19.89,0,0
19.905,0,0
19.92,0,0
19.935,0,0
19.95,0,0
19.965,0,0
19.98,0,0
19.995,0,0
20.01,0,0
20.025,0,0
20.04,0,0
20.055,0,0
20.07,0,0
20.085,0,0
20.1,0,0
20.115,0,0
20.13,0,0
20.145,0,0
20.16,0,0
20.175,0,0
20.19,0,0
20.205,0,0
20.22,0,0
20.235,0,0
20.25,0,0
20.265,0,0
20.28,0,0
20.295,0,0
20.31,0,0
20.325,0,0
20.34,0,0
20.355,0,0
20.37,0,0
20.385,0,0
20.4,0,0
20.415,0,0
20.43,0,0
20.445,0,0
20.46,0,0
20.475,0,0
20.49,0,0
20.505,0,0
20.52,0,0
20.535,0,0
20.55,0,0
20.565,0,0
20.58,0,0
20.595,0,0
20.61,0,0
20.625,0,0
20.64,0,0
20.655,0,0
20.67,0,0
20.685,0,0
20.7,0,0
20.715,0,0
20.73,0,0
20.745,0,0
20.76,0,0
20.775,0,0
20.79,0,0
20.805,0,0
20.82,0,0
20.835,0,0
20.85,0,0
20.865,0,0
20.88,0,0
20.895,0,0
20.91,0,0
20.925,0,0
20.94,0,0
20.955,0,0
20.97,0,0
20.985,0,0
21,0,0
21.015,0,0
21.03,0,0
21.045,0,0
21.06,0,0
21.075,0,0
21.09,0,0
21.105,0,0
21.12,0,0
21.135,0,0
21.15,0,0
21.165,0,0
21.18,0,0
21.195,0,0
21.21,0,0
21.225,0,0
21.24,0,0
21.255,0,0
21.27,0,0
21.285,0,0
21.3,0,0
21.315,0,0
21.33,0,0
21.345,0,0
21.36,0,0
21.375,0,0
21.39,0,0
21.405,0,0
21.42,0,0
21.435,0,0
21.45,0,0
21.465,0,0
21.48,0,0
21.495,0,0
21.51,0,0
21.525,0,0
21.54,0,0
21.555,0,0
21.57,0,0
21.585,0,0
21.6,0,0
21.615,0,0
21.63,0,0
21.645,0,0
21.66,0,0
21.675,0,0
21.69,0,0
21.705,0,0
21.72,0,0
21.735,0,0
21.75,0,0
21.765,0,0
21.78,0,0
21.795,0,0
21.81,0,0
21.825,0,0
21.84,0,0
21.855,0,0
21.87,0,0
21.885,0,0
21.9,0,0
21.915,0,0
21.93,0,0
21.945,0,0
21.96,0,0
21.975,0,0
21.99,0,0
22.005,0,0
22.02,0,0
22.035,0,0
22.05,0,0
22.065,0,0
22.08,0,0
22.095,0,0
22.11,0,0
22.125,0,0
22.14,0,0
22.155,0,0
22.17,0,0
22.185,0,0
22.2,0,0
22.215,0,0
22.23,0,0
22.245,0,0
22.26,0,0
22.275,0,0
22.29,0,0
22.305,0,0
22.32,0,0
22.335,0,0
22.35,0,0
22.365,0,0
22.38,0,0
22.395,0,0
22.41,0,0
22.425,0,0
22.44,0,0
22.455,0,0
22.47,0,0
22.485,0,0
22.5,0,0
22.515,0,0
22.53,0,0
22.545,0,0
22.56,0,0
22.575,0,0
22.59,0,0
22.605,0,0
22.62,0,0
22.635,0,0
22.65,0,0
22.665,0,0
22.68,0,0
22.695,0,0
22.71,0,0
22.725,0,0
22.74,0,0
22.755,0,0
22.77,0,0
22.785,0,0
22.8,0,0
22.815,0,0
22.83,0,0
22.845,0,0
22.86,0,0
22.875,0,0
22.89,0,0
22.905,0,0
22.92,0,0
22.935,0,0
22.95,0,0
22.965,0,0
22.98,0,0
22.995,0,0
23.01,0,0
23.025,0,0
23.04,0,0
23.055,0,0
23.07,0,0
23.085,0,0
23.1,0,0
23.115,0,0
23.13,0,0
23.145,0,0
23.16,0,0
23.175,0,0
23.19,0,0
23.205,0,0
23.22,0,0
23.235,0,0
23.25,0,0
23.265,0,0
23.28,0,0
23.295,0,0
23.31,0,0
23.325,0,0
23.34,0,0
23.355,0,0
23.37,0,0
23.385,0,0
23.4,0,0
23.415,0,0
23.43,0,0
23.445,0,0
23.46,0,0
23.475,0,0
23.49,0,0
23.505,0,0
23.52,0,0
23.535,0,0
23.55,0,0
23.565,0,0
23.58,0,0
23.595,0,0
23.61,0,0
23.625,0,0
23.64,0,0
23.655,0,0
23.67,0,0
23.685,0,0
23.7,0,0
23.715,0,0
23.73,0,0
23.745,0,0
23.76,0,0
23.775,0,0
23.79,0,0
23.805,0,0
23.82,0,0
23.835,0,0
23.85,0,0
23.865,0,0
23.88,0,0
23.895,0,0
23.91,0,0
23.925,0,0
23.94,0,0
23.955,0,0
23.97,0,0
23.985,0,0
24,0,0
24.015,0,0
24.03,0,0
24.045,0,0
24.06,0,0
24.075,0,0
24.09,0,0
24.105,0,0
24.12,0,0
24.135,0,0
24.15,0,0
24.165,0,0
24.18,0,0
24.195,0,0
24.21,0,0
24.225,0,0
24.24,0,0
24.255,0,0
24.27,0,0
24.285,0,0
24.3,0,0
24.315,0,0
24.33,0,0
24.345,0,0
24.36,0,0
24.375,0,0
24.39,0,0
24.405,0,0
24.42,0,0
24.435,0,0
24.45,0,0
24.465,0,0
24.48,0,0
24.495,0,0
24.51,0,0
24.525,0,0
24.54,0,0
24.555,0,0
24.57,0,0
24.585,0,0
24.6,0,0
24.615,0,0
24.63,0,0
24.645,0,0
24.66,0,0
24.675,0,0
24.69,0,0
24.705,0,0
24.72,0,0
24.735,0,0
24.75,0,0
24.765,0,0
24.78,0,0
24.795,0,0
24.81,0,0
24.825,0,0
24.84,0,0
24.855,0,0
24.87,0,0
24.885,0,0
24.9,0,0
24.915,0,0
24.93,0,0
24.945,0,0
24.96,0,0
24.975,0,0
24.99,0,0
25.005,0,0
25.02,0,0
25.035,0,0
25.05,0,0
25.065,0,0
25.08,0,0
25.095,0,0
25.11,0,0
25.125,0,0
25.14,0,0
25.155,0,0
25.17,0,0
25.185,0,0
25.2,0,0
25.215,0,0
25.23,0,0
25.245,0,0
25.26,0,0
25.275,0,0
25.29,0,0
25.305,0,0
25.32,0,0
25.335,0,0
25.35,0,0
25.365,0,0
25.38,0,0
25.395,0,0
25.41,0,0
25.425,0,0
25.44,0,0
25.455,0,0
25.47,0,0
25.485,0,0
25.5,0,0
25.515,0,0
25.53,0,0
25.545,0,0
25.56,0,0
25.575,0,0
25.59,0,0
25.605,0,0
25.62,0,0
25.635,0,0
25.65,0,0
25.665,0,0
25.68,0,0
25.695,0,0
25.71,0,0
25.725,0,0
25.74,0,0
25.755,0,0
25.77,0,0
25.785,0,0
25.8,0,0
25.815,0,0
25.83,0,0
25.845,0,0
25.86,0,0
25.875,0,0
25.89,0,0
25.905,0,0
25.92,0,0
25.935,0,0
25.95,0,0
25.965,0,0
25.98,0,0
25.995,0,0
26.01,0,0
26.025,0,0
26.04,0,0
26.055,0,0
26.07,0,0
26.085,0,0
26.1,0,0
26.115,0,0
26.13,0,0
26.145,0,0
26.16,0,0
26.175,0,0
26.19,0,0
26.205,0,0
26.22,0,0
26.235,0,0
26.25,0,0
26.265,0,0
